company;class;symbol;economatica_classification;ev_over_ebitda;net_equity;total_assets;total_liabilities;close_price;stock_volume
Csn Mineraca;ON;CMIN3;mining;6,5;10.601.697;19.622.406;19.622.406;9;5.591.246
Csu Cardsyst;ON;CARD3;other;6,9;282.506;523.919;523.919;15,47;41.104
Ctc S.A.;ON;CTCA3;agriculture;-;685.066;910.721;910.721;-;320.748
Cury S/A;ON;CURY3;real_state;18;459.687;1.795.232;1.795.232;9,8;291.875
Cvc Brasil;ON;CVCB3;transport_and_services;-3,6;-332.121;5.057.844;5.057.844;17,39;201.171
Cyre Com-Ccp;ON;CCPR3;other;13,3;1.627.647;4.924.971;4.924.971;11,65;152.644
Cyrela Realt;ON;CYRE3;real_state;5,3;6.261.196;11.391.783;11.391.783;25,15;384.504
D1000vfarma;ON;DMVF3;retail;7,7;818.306;1.496.135;1.496.135;10,6;50.602
Dasa;ON;DASA3;other;112;3.896.015;12.414.918;12.414.918;142,51;480.705
Dimed;ON;PNVL3;retail;20,1;1.003.628;2.176.369;2.176.369;19,23;151.188
Direcional;ON;DIRR3;real_state;12,8;1.328.161;5.247.524;5.247.524;13,37;148.400
Dohler;PN;DOHL4;textile;68,6;602.841;765.981;765.981;4,95;75.645
Dommo;ON;DMMO3;oil_and_gas;-1;-867.569;352.100;352.100;0,86;307.949
Dtcom Direct;ON;DTCY3;other;19,8;6.010;27.245;27.245;9,15;11.131
Duratex;ON;DTEX3;other;10,8;5.186.852;11.498.520;11.498.520;17,99;690.561
Ecorodovias;ON;ECOR3;transport_and_services;10;686.925;12.394.324;12.394.324;11,38;557.986
Elektro;PN;EKTR4;electrical_energy;7,7;2.982.000;9.278.000;9.278.000;24;193.759
Eletrobras;ON;ELET3;electrical_energy;7,1;75.861.647;181.582.941;181.582.941;33,44;1.568.931
Eletromidia;ON;ELMD3;other;-197;124.160;1.016.164;1.016.164;17;135.530
Eletropar;ON;LIPR3;electrical_energy;22,1;199.744;229.229;229.229;-;11.764
Emae;PN;EMAE4;electrical_energy;103,8;1.059.722;1.651.070;1.651.070;55,63;36.947
Embraer;ON;EMBR3;vehicles;-21,3;15.797.819;61.223.035;61.223.035;12,27;736.173
Enauta Part;ON;ENAT3;oil_and_gas;3,1;2.935.820;4.579.038;4.579.038;13,85;262.540
Encorpar;PN;ECPR4;textile;-;140.076;267.477;267.477;-;1.900
Energias BR;ON;ENBR3;electrical_energy;5,3;10.121.080;30.291.259;30.291.259;18,28;598.710
Energisa;UNT N2;ENGI11;electrical_energy;12,4;6.854.364;43.286.659;43.286.659;44,92;1.814.562
Energisa Mt;ON;ENMT3;electrical_energy;13,3;2.631.009;9.077.593;9.077.593;29,84;218.942
Eneva;ON;ENEV3;electrical_energy;25,9;7.278.859;15.745.083;15.745.083;66,49;315.768
Engie Brasil;ON;EGIE3;electrical_energy;7,1;7.739.529;35.186.248;35.186.248;41,66;815.928
Enjoei;ON;ENJU3;retail;-551,9;72.852;109.296;109.296;15,85;195.468
Eqtl Maranhao;ON;EQMA3B;electrical_energy;10,8;3.230.005;7.817.608;7.817.608;-;164.184
Eqtl Para;ON;EQPA3;electrical_energy;8,6;3.632.526;12.490.938;12.490.938;3,3;2.209.074
Equatorial;ON;EQTL3;electrical_energy;10;9.718.557;42.136.010;42.136.010;20,66;1.010.511
Espacolaser;ON;ESPA3;other;153,1;215.212;1.386.214;1.386.214;19,75;243.071
Estapar;ON;ALPK3;other;17,8;694.439;3.480.095;3.480.095;8,18;193.771
Estrela;PN;ESTR4;other;3,1;-486.120;245.246;245.246;26;808
Eucatex;PN;EUCA4;other;6,2;1.442.055;2.651.952;2.651.952;7,15;92.193
